2015-02-04,Alon USA Energy,ALJ,12.65,12.86,12.32,12.85
2015-02-04,Alon USA Partners,ALDW,16.65,16.65,16.2,16.42
2015-02-04,Alpha Natural Resources,ANR,1.11,1.2,1.08,1.17
2015-02-04,Altisource Residential,RESI,18.03,18.15,17.78,17.79
2015-02-04,Altria Group,MO,54.18,54.63,53.88,54.03
2015-02-04,Aluminum of China ADS,ACH,11.53,11.76,11.52,11.72
2015-02-04,Amber Road,AMBR,9.51,9.55,9.47,9.49
2015-02-04,Ambev ADS,ABEV,6.33,6.45,6.31,6.37
2015-02-04,A.M. Castle,CAS,6.45,6.45,6.08,6.11
2015-02-04,AMC Entertainment Holding,AMC,28.95,29.55,28.95,29.31
2015-02-04,AMEC Foster Wheeler ADS,AMFW,12.66,12.89,12.64,12.7
2015-02-04,Ameren,AEE,45.2,45.48,44.46,44.58
2015-02-04,Ameresco,AMRC,6.13,6.18,5.94,5.96
2015-02-04,America Movil ADS,AMX,21.67,21.78,21.43,21.54
2015-02-04,American Assets Trust,AAT,43.81,44.08,43.58,43.66
2015-02-04,American Axle&Manufacturing Holdings,AXL,25.29,25.73,25.1,25.27
2015-02-04,American Campus Communities,ACC,44.7,44.99,44.2,44.71
2015-02-04,American Eagle Outfitters,AEO,14.35,14.74,14.3,14.64
2015-02-04,American Electric Power,AEP,62.75,63,62.02,62.22
2015-02-04,American Equity Investment Life Holding,AEL,27.09,27.59,27.09,27.24
2015-02-04,American Express,AXP,83.5,84.47,83.33,83.61
2015-02-04,American Financial Group,AFG,60.81,61.69,60.6,61.29
2015-02-04,American Homes 4 Rent Cl A,AMH,16.43,16.83,16.36,16.71
2015-02-04,American International Group,AIG,51.07,51.91,51.05,51.51
2015-02-04,American International Group Inc. Wt,AIG%,22.17,23,22.17,22.9
2015-02-04,American Midstream Partners LP,AMID,18.31,18.63,17.85,18.32
2015-02-04,American Realty Investors,ARL,5.7,5.7,5.45,5.45
2015-02-04,American Residential Properties,ARPI,17.66,17.82,17.61,17.67
2015-02-04,American States Water,AWR,40.65,40.92,39.81,39.9
2015-02-04,American Tower REIT,AMT,98.88,99.32,97.66,97.85
2015-02-04,American Vanguard,AVD,11.75,12.12,11.64,11.83
2015-02-04,American Water Works,AWK,56.26,56.63,55.59,55.64
2015-02-04,AmeriGas Partners,APU,52.43,52.44,51.72,51.86
2015-02-04,Ameriprise Financial,AMP,132.35,133.24,131.33,131.88
2015-02-04,AmerisourceBergen,ABC,95.62,96.45,95.23,95.87
2015-02-04,Ametek,AME,50.2,50.32,49.37,49.51
2015-02-04,Amira Nature Foods,ANFI,13.3,13.59,13.26,13.5
2015-02-04,AMN Healthcare Services,AHS,19.36,19.71,19.26,19.54
2015-02-04,Ampco-Pittsburgh,AP,18.14,18.31,17.92,17.96
2015-02-04,Amphenol Cl A,APH,54.46,54.95,54.11,54.57
2015-02-04,AmREIT,AMRE,26.6,26.63,26.58,26.58
2015-02-04,Amrep,AXR,3.86,4.08,3.75,4
2015-02-04,Anadarko Petroleum,APC,83.91,84.98,82.46,83.07
2015-02-04,AngloGold Ashanti ADS,AU,12.63,12.88,12.43,12.76
2015-02-04,Anheuser-Busch InBev ADS,BUD,123.51,124.89,122.94,123.66
2015-02-04,Anixter International,AXE,75.22,75.85,73.44,73.86
2015-02-04,Ann,ANN,33.41,33.77,33.23,33.43
2015-02-04,Annaly Capital Management,NLY,10.57,10.61,10.42,10.44
2015-02-04,Antero Midstream Partners,AM,23.97,24.6,22.94,24.45
2015-02-04,Antero Resources,AR,38.23,38.88,37.2,38.01
2015-02-04,Anthem,ANTM,136.49,138.67,135.4,137.65
2015-02-04,Anworth Mortgage Asset,ANH,5.15,5.16,5.09,5.11
2015-02-04,AOL,AOL,44.35,44.84,43.28,43.44
2015-02-04,Aon,AON,92.6,93.69,92.49,93.12
2015-02-04,A.O. Smith,AOS,60.64,61.82,60.36,61.11
2015-02-04,Apache,APA,66.68,68.24,66.01,67.31
2015-02-04,Apartment Investment&Management,AIV,39.89,40.28,39.59,40.12
2015-02-04,Apollo Commercial Real Estate Finance,ARI,16.73,16.77,16.59,16.7
2015-02-04,Apollo Global Management Cl A,APO,25.62,25.68,25.01,25.16
2015-02-04,Apollo Residential Mortgage,AMTG,15.73,15.75,15.58,15.63
2015-02-04,Applied Industrial Technologies,AIT,42.88,43.09,42.16,42.28
2015-02-04,Aptargroup,ATR,63.26,63.97,62.95,63.22
2015-02-04,Aqua America,WTR,27.58,27.75,27.21,27.25
2015-02-04,Aramark,ARMK,31.97,32.56,31.86,32.29
2015-02-04,Arbor Realty Trust,ABR,7.17,7.21,7.09,7.17
2015-02-04,ARC Document Solutions,ARC,9.31,9.59,9.3,9.36
2015-02-04,ArcelorMittal ADS,MT,9.9,10,9.82,9.85
2015-02-04,Arch Coal,ACI,1.1,1.21,1.06,1.17
2015-02-04,Archer Daniels Midland,ADM,48.4,48.4,45.87,46.15
2015-02-04,Arc Logistics Partners,ARCX,17.9,19,17.75,18.99
2015-02-04,Arcos Dorados Holdings Cl A,ARCO,5.77,5.87,5.67,5.77
2015-02-04,Ardmore Shipping,ASC,11.07,12.03,11,11.8
2015-02-04,Ares Commercial Real Estate,ACRE,12.3,12.3,12.15,12.16
2015-02-04,Ares Management,ARES,19.01,19.19,18.81,18.89
2015-02-04,Argan,AGX,31.82,32.43,31.62,31.68
2015-02-04,Arista Networks,ANET,61.5,61.97,59.8,60.86
2015-02-04,Arlington Asset Investment Cl A,AI,25.98,26.06,24.33,24.83
2015-02-04,Armada Hoffler Properties,AHH,10.76,10.87,10.68,10.78
2015-02-04,Armour Residential REIT,ARR,3.11,3.14,3.1,3.13
2015-02-04,Armstrong World Industries,AWI,51.5,53.12,51.27,52.38
2015-02-04,Arrow Electronics,ARW,56.76,57.49,56.61,57.02
2015-02-04,Arthur J. Gallagher,AJG,45.9,46.84,45.81,46.32
2015-02-04,Artisan Partners Asset Management,APAM,46.19,48.22,46.19,47.16
2015-02-04,Asbury Automotive Group,ABG,79.75,80.84,77.19,78.48
2015-02-04,Ashford Hospitality Prime,AHP,16.71,16.86,16.56,16.6
2015-02-04,Ashford Hospitality Trust,AHT,10.51,10.77,10.48,10.59
2015-02-04,Ashland Inc.,ASH,122.62,124.6,121.93,124.04
2015-02-04,Aspen Aerogels,ASPN,7.79,7.93,7.59,7.78
2015-02-04,Aspen Insurance Holdings,AHL,44.95,45.26,44.79,44.89
2015-02-04,Associated Banc-Corp.,ASB,17.64,17.76,17.54,17.58
2015-02-04,Associated Estates Realty,AEC,24.55,24.8,23.98,24.66
2015-02-04,Assurant,AIZ,65.53,66.13,65.39,65.56
2015-02-04,Assured Guaranty,AGO,25.05,25.5,25.05,25.24
2015-02-04,Astoria Financial,AF,12.71,12.84,12.64,12.65
2015-02-04,AstraZeneca ADS,AZN,71.83,71.89,70.98,71.06
2015-02-04,Atento,ATTO,11.71,12,11.58,11.7
2015-02-04,Atlantic Power,AT,2.73,2.73,2.64,2.66
2015-02-04,Atlas Energy,ATLS,29.66,30.11,29.5,29.93
2015-02-04,Atlas Pipeline Partners,APL,27.27,27.85,27.09,27.43
2015-02-04,Atlas Resource Partners,ARP,10.62,11.1,10,10.44
2015-02-04,Atmos Energy,ATO,57.77,58.18,56.6,56.76
2015-02-04,AT&T,T,34.33,34.75,34.23,34.41
2015-02-04,Atwood Oceanics,ATW,28.61,29.75,28.38,29.21
2015-02-04,AU Optronics ADS,AUO,5.46,5.52,5.43,5.51
2015-02-04,AuRico Gold,AUQ,3.72,3.92,3.72,3.87
2015-02-04,Autohome ADS,ATHM,36.28,36.71,35.75,35.94
2015-02-04,Autoliv,ALV,110.27,111.96,110.22,111.32
2015-02-04,AutoNation,AN,62.85,63.32,62,62.81
2015-02-04,AutoZone,AZO,607.2,612.81,597.85,601.63
2015-02-04,Avalonbay Communities,AVB,173.6,174.37,171.93,173.34
2015-02-04,Avery Dennison,AVY,51.39,52.05,51.31,51.5
2015-02-04,AVG Technologies,AVG,19.78,20.03,19.69,19.77
2015-02-04,Avianca Holdings ADS,AVH,12.55,12.67,12.47,12.51
2015-02-04,Avista,AVA,37.37,37.5,36.79,36.85
2015-02-04,Aviva PLC ADS,AV,16.13,16.25,16.07,16.13
2015-02-04,Aviv REIT,AVIV,38.06,38.57,37.87,38.4
2015-02-04,Avnet,AVT,43.04,43.66,42.96,43.27
2015-02-04,Avolon Holdings,AVOL,19.59,19.65,19.13,19.47
2015-02-04,Avon Products,AVP,8.68,8.8,8.52,8.74
2015-02-04,AVX,AVX,13.25,13.32,13,13.05
2015-02-04,Axalta Coating Systems,AXTA,24.97,25.25,24.74,25.16
2015-02-04,Axiall,AXLL,45.33,45.41,44.56,44.79
2015-02-04,Axis Capital Holdings,AXS,51.28,51.76,50.6,51.06
2015-02-04,AZZ Inc.,AZZ,44.33,44.5,42.46,42.62
2015-02-04,Babcock&Wilcox,BWC,28.5,28.53,27.78,27.86
2015-02-04,Badger Meter,BMI,60.67,61.24,58.93,59.43
2015-02-04,Baker Hughes,BHI,60.61,61.48,60.21,60.98
2015-02-04,Ball,BLL,65.18,66.54,65.18,66.15
2015-02-04,Baltic Trading,BALT,1.7,1.73,1.62,1.68
2015-02-04,Banco Bilbao Vizcaya Argentaria ADS,BBVA,9.28,9.34,9.14,9.16
2015-02-04,Banco de Chile ADS,BCH,68.25,68.5,67.71,68.18
2015-02-04,Banc of California,BANC,10.76,10.85,10.67,10.71
2015-02-04,Banco Latinoamericano de Comercio Exterior Cl E,BLX,28.75,29.03,28.44,28.47
2015-02-04,BanColombia ADS,CIB,47.99,48.1,46.77,46.84
2015-02-04,Banco Macro ADS,BMA,40.67,42.3,40.67,42.27
2015-02-04,BancorpSouth,BXS,21.05,21.32,20.9,20.91
2015-02-04,Banco Santander ADS,SAN,7,7.08,6.94,6.96
2015-02-04,Banco Santander Brasil ADS,BSBR,4.73,4.93,4.73,4.9
2015-02-04,Banco Santander-Chile ADS,BSAC,19.73,20.05,19.6,19.73
2015-02-04,Bank of America,BAC,15.79,16,15.75,15.79
2015-02-04,Bank of America Cl A WT,BAC%A,6.18,6.18,5.81,5.81
2015-02-04,Bank of America Cl B WT,BAC%B,0.6,0.6,0.55,0.58
2015-02-04,Bank of Hawaii,BOH,58.09,58.53,57.81,58.07
2015-02-04,Bank of Montreal,BMO,60.91,61.25,59.82,59.94
2015-02-04,Bank of New York Mellon,BK,37.16,37.76,37.08,37.17
2015-02-04,Bank of Nova Scotia,BNS,51.27,51.55,50.28,50.49
